NumNodes = 74;
NumAgents = 6;
Pi = 5594.000000;
wu = [0.000000 0.260870 0.159420 0.275362 0.159420 0.144928];
CmaxUB = 10000;
dailyRewardFactor = 1;
userParam = "";
Arcs = {
//fromnode,tonode,cost,pLB,pUB,agent;
<    1,     2,     0,     0,     0,     1>,
<    2,     3,    48,     8,    12,     5>,
<    2,     4,   177,    10,    20,     5>,
<    2,     5,   144,     1,    16,     2>,
<    2,     6,   187,     2,     2,     4>,
<    2,     7,   195,     8,    14,     3>,
<    2,     8,    73,     5,    11,     5>,
<    2,     9,   187,    10,    12,     6>,
<    2,    10,    36,     7,    23,     2>,
<    2,    11,   183,     2,    15,     6>,
<    2,    12,   180,     7,    18,     4>,
<    2,    13,   154,    10,    17,     6>,
<    2,    14,   148,    10,    25,     2>,
<    2,    15,    34,     1,     6,     4>,
<    2,    16,    76,     3,    18,     3>,
<    2,    17,    35,     7,    21,     3>,
<    9,    18,    61,     1,     9,     2>,
<    3,    19,    35,     6,    25,     2>,
<   20,    21,   194,     8,    27,     5>,
<   22,    23,   137,     5,    13,     2>,
<   24,    25,    68,    10,    11,     3>,
<    2,    26,    67,    10,    22,     4>,
<   27,    28,   118,     7,    24,     2>,
<    2,    29,   181,     2,    19,     3>,
<    2,    30,    59,     3,    12,     3>,
<   31,    32,   100,     5,    17,     5>,
<    7,    33,   132,    10,    21,     5>,
<   34,    35,    32,     9,    27,     4>,
<   36,    37,   148,     6,     8,     3>,
<   17,    38,    18,     9,    28,     4>,
<   39,    40,   125,     4,    21,     3>,
<   41,    42,   142,     7,    26,     3>,
<    6,    43,   104,     9,    28,     4>,
<   44,    45,   124,     9,     9,     5>,
<   37,    46,    87,     7,     7,     2>,
<   47,    48,   115,     1,    17,     6>,
<   49,    48,   193,     4,     8,     4>,
<   50,    51,   133,     2,    14,     5>,
<   52,    53,    20,     9,    24,     2>,
<   54,    55,   146,     8,    21,     5>,
<   56,    57,   102,     7,    12,     3>,
<   58,    57,    98,     9,    10,     3>,
<   59,    60,   152,    10,    29,     3>,
<   57,    61,   166,    10,    17,     4>,
<   51,    61,    54,     2,    10,     5>,
<   53,    61,    70,     7,    11,     4>,
<   62,    61,    90,     1,    10,     2>,
<   60,    61,   181,     2,     3,     2>,
<   55,    61,    15,     1,    20,     5>,
<   63,    61,   130,     1,     9,     3>,
<   64,    61,    53,     9,    16,     5>,
<   65,    61,   162,     7,    26,     5>,
<   66,    61,   144,     2,     8,     2>,
<   67,    61,    37,     5,    14,     4>,
<   68,    61,    43,    10,    25,     5>,
<   69,    61,   149,     8,    14,     3>,
<   70,    61,   156,     8,    12,     4>,
<   71,    61,    42,     3,    10,     3>,
<   72,    61,    23,     9,    23,     5>,
<   73,    61,   175,     8,    12,     3>,
<    9,    61,    96,     8,    16,     5>,
<   61,    74,     0,     0,     0,     1>,
<    3,    20,     0,     0,     0,     1>,
<    3,    22,     0,     0,     0,     1>,
<    3,    27,     0,     0,     0,     1>,
<    3,    34,     0,     0,     0,     1>,
<    3,    36,     0,     0,     0,     1>,
<    3,    49,     0,     0,     0,     1>,
<    3,    58,     0,     0,     0,     1>,
<    3,    59,     0,     0,     0,     1>,
<    3,    72,     0,     0,     0,     1>,
<    3,    73,     0,     0,     0,     1>,
<    4,    22,     0,     0,     0,     1>,
<    4,    31,     0,     0,     0,     1>,
<    4,    36,     0,     0,     0,     1>,
<    4,    39,     0,     0,     0,     1>,
<    4,    47,     0,     0,     0,     1>,
<    4,    49,     0,     0,     0,     1>,
<    4,    58,     0,     0,     0,     1>,
<    4,    59,     0,     0,     0,     1>,
<    4,    69,     0,     0,     0,     1>,
<    4,    70,     0,     0,     0,     1>,
<    4,    72,     0,     0,     0,     1>,
<    4,    73,     0,     0,     0,     1>,
<    5,    22,     0,     0,     0,     1>,
<    5,    24,     0,     0,     0,     1>,
<    5,    27,     0,     0,     0,     1>,
<    5,    41,     0,     0,     0,     1>,
<    5,    37,     0,     0,     0,     1>,
<    5,    59,     0,     0,     0,     1>,
<    5,    68,     0,     0,     0,     1>,
<    5,    70,     0,     0,     0,     1>,
<    5,    71,     0,     0,     0,     1>,
<    5,    72,     0,     0,     0,     1>,
<    5,    73,     0,     0,     0,     1>,
<    6,    24,     0,     0,     0,     1>,
<    6,    31,     0,     0,     0,     1>,
<    6,    37,     0,     0,     0,     1>,
<    6,    47,     0,     0,     0,     1>,
<    6,    49,     0,     0,     0,     1>,
<    6,    68,     0,     0,     0,     1>,
<    6,    70,     0,     0,     0,     1>,
<    6,    71,     0,     0,     0,     1>,
<    6,    72,     0,     0,     0,     1>,
<    7,    20,     0,     0,     0,     1>,
<    7,    34,     0,     0,     0,     1>,
<    7,    47,     0,     0,     0,     1>,
<    7,    49,     0,     0,     0,     1>,
<    7,    65,     0,     0,     0,     1>,
<    7,    72,     0,     0,     0,     1>,
<    7,    73,     0,     0,     0,     1>,
<    8,    31,     0,     0,     0,     1>,
<    8,    36,     0,     0,     0,     1>,
<    8,    39,     0,     0,     0,     1>,
<    8,    44,     0,     0,     0,     1>,
