NumNodes = 78;
NumAgents = 6;
Pi = 5635.000000;
wu = [0.000000 0.200000 0.155556 0.222222 0.400000 0.022222];
CmaxUB = 10000;
dailyRewardFactor = 1;
userParam = "";
Arcs = {
//fromnode,tonode,cost,pLB,pUB,agent;
<    1,     2,     0,     0,     0,     1>,
<    2,     3,   175,     2,    16,     2>,
<    2,     4,   186,    10,    23,     4>,
<    2,     5,    75,     3,     3,     5>,
<    2,     6,   146,     7,     8,     3>,
<    2,     7,   158,     5,     8,     3>,
<    2,     8,    93,     7,    22,     6>,
<    2,     9,   149,     7,    15,     3>,
<    2,    10,    95,    10,    23,     6>,
<    2,    11,   174,     4,    21,     6>,
<    3,    12,    43,     8,    22,     6>,
<    2,    13,    26,     2,    19,     4>,
<    4,    14,    94,     9,    20,     4>,
<   15,    16,    16,     9,    11,     5>,
<    2,    17,    24,     4,     7,     4>,
<    2,    18,    81,     3,    22,     6>,
<    2,    19,    55,     7,     7,     6>,
<    4,    20,   196,     3,    11,     3>,
<    2,    21,    41,     3,     5,     5>,
<   22,    23,   193,     2,    10,     3>,
<   24,    25,    80,     9,    15,     3>,
<   26,    27,   139,     5,    15,     2>,
<   28,    29,   189,     9,    16,     6>,
<    4,    30,   186,     9,    27,     6>,
<    2,    31,   143,     8,    19,     3>,
<   32,    33,    21,     9,    15,     5>,
<   34,    35,    96,     1,     6,     5>,
<   36,    37,   100,     4,     5,     4>,
<   38,    39,    35,     3,    17,     4>,
<   40,    41,    27,     8,    18,     6>,
<    5,    42,   105,     7,    22,     5>,
<    2,    43,    13,     3,    10,     3>,
<   44,    45,    56,    10,    29,     6>,
<   46,    47,   155,     6,    16,     5>,
<   48,    49,   123,     7,    22,     5>,
<   50,    51,    37,     3,     6,     3>,
<   52,    49,    81,     8,    27,     6>,
<   53,    54,   143,     3,    17,     2>,
<   55,    56,   177,     2,    10,     2>,
<   57,    58,   121,     2,     6,     4>,
<   59,    56,   198,     8,    21,     3>,
<   60,    61,    45,     5,    13,     3>,
<   62,    61,   186,     5,    23,     6>,
<   63,    61,    39,     3,     3,     3>,
