NumNodes = 135;
NumAgents = 6;
Pi = 9022.000000;
wu = [0.000000 0.254902 0.078431 0.137255 0.294118 0.235294];
CmaxUB = 10000;
dailyRewardFactor = 1;
userParam = "";
Arcs = {
//fromnode,tonode,cost,pLB,pUB,agent;
<    1,     2,     0,     0,     0,     1>,
<    2,     3,    78,     8,    10,     2>,
<    2,     4,    56,     1,    11,     4>,
<    2,     5,    89,     2,     6,     2>,
<    2,     6,    22,     8,    18,     4>,
<    2,     7,    21,     3,    12,     3>,
<    2,     8,    88,     9,    15,     2>,
<    2,     9,    61,    10,    13,     2>,
<    2,    10,    64,     7,    22,     6>,
<    2,    11,   159,     6,    23,     5>,
<    2,    12,    73,     1,     4,     3>,
<    2,    13,   166,    10,    13,     3>,
<    2,    14,   164,     4,    13,     3>,
<    2,    15,   150,     1,    18,     2>,
<    2,    16,    87,     8,    12,     3>,
<    3,    17,   197,    10,    14,     3>,
<    3,    18,    69,     2,    16,     5>,
<    2,    19,    35,     2,    10,     4>,
<    2,    20,   169,     4,    21,     5>,
<    5,    21,    62,     3,     9,     6>,
<    7,    22,   146,     8,    10,     5>,
<    2,    23,    31,     3,    12,     5>,
<    2,    24,   100,     8,    20,     2>,
<    2,    25,   145,     2,    11,     4>,
<    2,    26,    96,     3,    14,     3>,
<    8,    27,    90,     7,     9,     3>,
<    2,    28,    96,     9,    20,     2>,
<    6,    29,    89,     4,     7,     6>,
<   30,    31,   132,     8,     9,     4>,
<    2,    32,   156,     2,     3,     4>,
<    3,    33,    42,     6,    11,     3>,
<    6,    34,   162,     8,    26,     4>,
<   12,    35,   101,     6,    21,     6>,
<   36,    37,   171,     8,     8,     5>,
<   38,    39,    16,     5,     7,     3>,
<    2,    40,    68,     8,    23,     5>,
<   41,    42,    75,     7,    17,     5>,
<    9,    43,    58,     6,    12,     6>,
<   44,    45,   176,     6,     9,     4>,
<    2,    46,    18,     9,    20,     2>,
<   47,    48,   175,     7,    25,     2>,
<   49,    50,   125,    10,    24,     3>,
<   51,    52,   144,     1,    10,     5>,
<   53,    54,    78,     5,    24,     2>,
<    2,    55,    99,     6,    10,     3>,
<   56,    57,   118,     6,    14,     5>,
<   58,    59,    94,     6,    14,     2>,
<   60,    61,   187,     2,    15,     3>,
<   62,    63,   109,     2,    13,     3>,
<   25,    64,   133,     6,    10,     4>,
<   65,    66,    78,    10,    13,     6>,
