NumNodes = 105;
NumAgents = 6;
Pi = 8523.000000;
wu = [0.000000 0.310345 0.275862 0.034483 0.275862 0.103448];
CmaxUB = 10000;
dailyRewardFactor = 1;
userParam = "";
Arcs = {
//fromnode,tonode,cost,pLB,pUB,agent;
<    1,     2,     0,     0,     0,     1>,
<    2,     3,   180,    10,    15,     4>,
<    2,     4,   158,     9,     9,     6>,
<    2,     5,   150,     7,    16,     2>,
<    2,     6,   172,     4,     4,     3>,
<    2,     7,    33,    10,    29,     4>,
<    2,     8,   125,     7,    10,     2>,
<    3,     9,   197,     9,    20,     4>,
<    2,    10,   192,     4,     9,     4>,
<    2,    11,   178,     7,    25,     2>,
<    2,    12,   126,     1,     1,     6>,
<    2,    13,   167,     3,     9,     2>,
<    2,    14,   101,     1,     4,     6>,
<    2,    15,    91,     5,    10,     2>,
<    2,    16,    23,     5,    24,     2>,
<    2,    17,    22,    10,    17,     4>,
<    2,    18,    79,     8,    21,     5>,
<    2,    19,   121,     2,     6,     4>,
<    4,    20,   151,     2,    18,     3>,
<    2,    21,    29,     5,     9,     5>,
<    2,    22,    64,     3,    18,     2>,
<    2,    23,   199,     1,    15,     2>,
<    2,    24,    95,     4,    20,     3>,
<    2,    25,   142,     4,    17,     4>,
<    4,    26,   166,    10,    22,     4>,
<   27,    28,    57,     4,    18,     6>,
<   29,    30,    64,     2,    16,     3>,
<    4,    31,    29,    10,    22,     5>,
<   32,    33,   151,     1,     2,     3>,
<   34,    35,   162,     6,    17,     2>,
<    2,    36,   178,     2,    19,     5>,
<   37,    38,    28,     2,    14,     6>,
<   39,    40,   146,     8,    14,     5>,
<   41,    42,    78,     4,    13,     3>,
<   43,    44,   143,     5,    12,     5>,
<   45,    46,   167,     3,    22,     2>,
<   47,    48,    53,     9,    21,     6>,
<   49,    50,   125,     5,    18,     4>,
<   51,    52,    10,     1,    14,     4>,
<   53,    54,   138,     7,    11,     2>,
<    2,    55,   102,     9,     9,     4>,
<   56,    57,   189,    10,    14,     4>,
<   58,    59,   141,     9,    11,     2>,
<   60,    61,   177,     6,    10,     4>,
<   62,    63,   169,     3,    18,     4>,
<   64,    65,   103,     9,    24,     2>,
<   66,    67,   170,     2,     2,     3>,
<    2,    68,   115,     6,     8,     6>,
<   69,    70,   174,     4,    15,     2>,
<   71,    72,    19,     1,    18,     6>,
